ticker,permno,date,comnam,rtype,ptype,psub,caldt,ym,usdret,usdprc,market_equity,assets,sales,net_income,book_equity,debt_at,cash_at,ocf_at,roe,btm,beta,quarter,MORTGAGE30US
SUI,80102,2005-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2005-04-29,2005m4,-0.0089,34.85,638.8353,1403.167,200.702,-40.468,211.746,0.7685771,0.069529146,0.042803172,0.0726064725513609,0.3314563206730461,0.1418894673959982,2005Q2,
SUI,80102,2005-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2005-09-30,2005m9,-0.0336,32.76,596.82166,1332.547,205.662,-45.431,188.363,0.80584174,0.0133451205,0.047809947,-0.1911157707819746,0.3156102237277292,0.1329101485988437,2005Q3,
SUI,80102,2005-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2005-11-30,2005m11,0.0039,30.6,557.3484,1326.809,208.113,0.97,183.392,0.81902367,0.0025565096,0.051992413,-0.1911157707819746,0.3290437111721796,0.1535098032173756,2005Q4,
SUI,80102,2006-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2006-01-31,2006m1,0.0783,33.23,605.2512,1319.745,210.777,-3.32,165.494,0.83677375,0.0032460815,0.053514127,-0.1911157707819746,0.2734302826888686,0.2152171382008482,2006Q1,
SUI,80102,2006-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2006-04-28,2006m4,-0.0614,32.55,588.14594,1320.536,209.957,-6.276,143.257,0.85076666,0.0044527375,0.05013873,-0.1911157707819746,0.2435739068318901,0.2172634999829773,2006Q2,
SUI,80102,2006-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2006-07-31,2006m7,0.0006,31.92,576.76245,1327.704,213.575,-7.989,134.304,0.8616393,0.004223833,0.044304304,-0.0380574771215368,0.2328584137396106,0.2262010152769622,2006Q3,
SUI,80102,2006-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2006-10-31,2006m10,0.1145,34.99,632.3743,1329.794,220.087,-8.255,122.817,0.87039495,0.0038772924,0.048888776,-0.0380574771215368,0.1942156708694163,0.3147212252284382,2006Q4,
SUI,80102,2007-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2007-02-28,2007m2,-0.0294,30.68,559.1737,1316.491,222.973,-8.419,108.474,0.8835541,0.003074081,0.04718832,-0.0380574771215368,0.1939898129119988,0.3460963569610391,2007Q1,
SUI,80102,2007-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2007-05-31,2007m5,0.04,30.95,565.6422,1289.739,209.912,-25.257,79.197,0.9047179,0.0024679413,0.04349795,-0.0380574771215368,0.1400125385735861,0.3587783241326023,2007Q2,
SUI,80102,2007-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2007-09-28,2007m9,0.0551,30.08,548.4787,1267.785,214.581,-24.054,70.091,0.9131327,0.0034193494,0.04479072,-0.3152644670883998,0.1277916626759882,0.3629052363164663,2007Q3,
SUI,80102,2007-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2007-10-31,2007m10,0.0349,30.5,556.137,1262.339,214.724,-24.508,59.197,0.9200817,0.002229195,0.04313659,-0.3152644670883998,0.1064431940262766,0.3809915716396143,2007Q4,
SUI,80102,2008-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2008-01-31,2008m1,-0.0527,19.33,352.7725,1261.104,217.651,-24.987,43.236,0.9345748,0.0030203694,0.03656241,-0.3152644670883998,0.1225605739138826,0.6637753376851493,2008Q1,
SUI,80102,2008-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2008-06-30,2008m6,-0.0908,18.23,335.7419,1245.823,227.987,-16.643,21.047,0.9533256,0.0043465244,0.03985237,-0.7907540267021428,0.0626880365433803,0.7004221330260199,2008Q2,
SUI,80102,2008-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2008-07-31,2008m7,-0.034,16.98,312.72064,1233.197,228.16,-19.57,5.423,0.9662973,0.00401639,0.036927596,-0.7907540267021428,0.0173413548204757,0.690970103176392,2008Q3,
SUI,80102,2008-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2008-11-28,2008m11,-0.2719,10.95,201.60045,1221.013,227.236,-24.536,21.047,0.97820824,0.0035323128,0.03879975,-0.7907540267021428,0.1043995713371229,0.9076292851374904,2008Q4,
SUI,80102,2009-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2009-01-30,2009m1,-0.0979,12.0,220.932,1221.855,229.056,-25.358,21.047,0.9926759,0.0055849506,0.04510355,-0.7907540267021428,0.0952646103100038,1.008192255916096,2009Q1,
SUI,80102,2009-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2009-06-30,2009m6,-0.0241,13.78,256.41824,1206.999,238.549,-34.448,,1.018701,0.005105224,0.035735738,0.5752646872181958,,1.2003828020968033,2009Q2,
SUI,80102,2009-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2009-07-31,2009m7,0.156,15.3,284.7024,1197.595,243.184,-25.297,,1.0273573,0.005501025,0.03912174,0.5752646872181958,,1.243630434858487,2009Q3,
SUI,80102,2009-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2009-12-31,2009m12,0.0395,19.75,371.20126,1192.249,248.376,-20.284,,1.0354549,0.0038792233,0.043080766,0.5752646872181958,,1.3776257010333628,2009Q4,
SUI,80102,2010-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2010-02-26,2010m2,0.0641,19.27,362.17966,1189.205,251.145,-17.287,,1.0465218,0.0042709205,0.042567093,0.5752646872181958,,1.3837315737174083,2010Q1,
SUI,80102,2010-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2010-05-28,2010m5,0.0228,29.58,561.63544,1181.365,254.433,-6.099,,1.0614052,0.003805767,0.0505864,0.5752646872181958,,1.448818522283367,2010Q2,
SUI,80102,2010-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2010-09-30,2010m9,0.0731,30.7,594.1371,1173.329,255.838,-5.793,,1.0708735,0.0068642297,0.051927466,0.0601112181535497,,1.4664819315178372,2010Q3,
